date,active_addresses
2015-01-02,179406.0
2015-01-06,179159.0
2015-01-10,242729.0
2015-01-14,217076.0
2015-01-18,214984.0
2015-01-22,186251.0
2015-01-26,216080.0
2015-01-30,161500.0
2015-02-03,203192.0
2015-02-07,159160.0
2015-02-11,191881.0
2015-02-15,300913.0
2015-02-19,180964.0
2015-02-23,213050.0
2015-02-27,198801.0
2015-03-03,218185.0
2015-03-07,213542.0
2015-03-11,202784.0
2015-03-15,219686.0
2015-03-19,191319.0
2015-03-23,217678.0
2015-03-27,196455.0
2015-03-31,226307.0
2015-04-04,215923.0
2015-04-08,215255.0
2015-04-12,217732.0
2015-04-16,188970.0
2015-04-20,209796.0
2015-04-24,204006.0
2015-04-28,209313.0
2015-05-02,233284.0
2015-05-06,225289.0
2015-05-10,219078.0
2015-05-14,200454.0
2015-05-18,206913.0
2015-05-22,208304.0
2015-05-26,227723.0
2015-05-30,266265.0
2015-06-03,246454.0
2015-06-07,220164.0
2015-06-11,233951.0
2015-06-15,272423.0
2015-06-19,253777.0
2015-06-23,256698.0
2015-06-27,254786.0
2015-07-01,253870.0
2015-07-05,269467.0
2015-07-09,269424.0
2015-07-13,240377.0
2015-07-17,205768.0
2015-07-21,255725.0
2015-07-25,195286.0
2015-07-29,269690.0
2015-08-02,255245.0
2015-08-06,245603.0
2015-08-10,235211.0
2015-08-14,227327.0
2015-08-18,249286.0
2015-08-22,258265.0
2015-08-26,237648.0
2015-08-30,245385.0
2015-09-03,246972.0
2015-09-07,263783.0
2015-09-11,276094.0
2015-09-15,268665.0
2015-09-19,221522.0
2015-09-23,244535.0
2015-09-27,256084.0
2015-10-01,248462.0
2015-10-05,233960.0
2015-10-09,209703.0
2015-10-13,239237.0
2015-10-17,307347.0
2015-10-21,289412.0
2015-10-25,296929.0
2015-10-29,292094.0
2015-11-02,309823.0
2015-11-06,358682.0
2015-11-10,311998.0
2015-11-14,328381.0
2015-11-18,324903.0
2015-11-22,319199.0
2015-11-26,314907.0
2015-11-30,409952.0
2015-12-04,329534.0
2015-12-08,388080.0
2015-12-12,445120.0
2015-12-16,396918.0
2015-12-20,409195.0
2015-12-24,382616.0
2015-12-28,335134.0
