date,bitcoin
2025-01-01,50
2025-01-02,57
2025-01-03,52
2025-01-04,46
2025-01-05,46
2025-01-06,57
2025-01-07,60
2025-01-08,55
2025-01-09,56
2025-01-10,52
2025-01-11,43
2025-01-12,41
2025-01-13,55
2025-01-14,50
2025-01-15,52
2025-01-16,55
2025-01-17,66
2025-01-18,55
2025-01-19,65
2025-01-20,100
2025-01-21,78
2025-01-22,61
2025-01-23,64
2025-01-24,61
2025-01-25,49
2025-01-26,46
2025-01-27,69
2025-01-28,57
2025-01-29,51
2025-01-30,50
2025-01-31,47
2025-02-01,43
2025-02-02,53
2025-02-03,78
2025-02-04,57
2025-02-05,52
2025-02-06,46
2025-02-07,46
2025-02-08,38
2025-02-09,40
2025-02-10,40
2025-02-11,43
2025-02-12,41
2025-02-13,38
2025-02-14,38
2025-02-15,33
2025-02-16,34
2025-02-17,36
2025-02-18,42
2025-02-19,37
2025-02-20,39
2025-02-21,41
2025-02-22,33
2025-02-23,30
2025-02-24,38
2025-02-25,77
2025-02-26,65
2025-02-27,59
2025-02-28,86
2025-03-01,49
2025-03-02,65
2025-03-03,77
2025-03-04,67
2025-03-05,55
2025-03-06,51
2025-03-07,67
2025-03-08,47
2025-03-09,48
2025-03-10,70
2025-03-11,66
2025-03-12,53
2025-03-13,49
2025-03-14,46
2025-03-15,37
2025-03-16,36
2025-03-17,43
2025-03-18,43
2025-03-19,44
2025-03-20,40
2025-03-21,34
2025-03-22,30
2025-03-23,32
2025-03-24,40
2025-03-25,36
2025-03-26,38
2025-03-27,35
2025-03-28,35
2025-03-29,31
2025-03-30,33
2025-03-31,40
2025-04-01,39
2025-04-02,42
2025-04-03,53
2025-04-04,50
2025-04-05,38
2025-04-06,41
2025-04-07,75
2025-04-08,53
2025-04-09,57
2025-04-10,48
2025-04-11,43
2025-04-12,36
2025-04-13,33
2025-04-14,37
2025-04-15,35
2025-04-16,34
2025-04-17,32
2025-04-18,29
2025-04-19,26
2025-04-20,28
2025-04-21,38
2025-04-22,44
2025-04-23,46
2025-04-24,37
2025-04-25,36
2025-04-26,29
2025-04-27,29
2025-04-28,35
2025-04-29,33
2025-04-30,32
2025-05-01,36
2025-05-02,35
2025-05-03,28
2025-05-04,28
2025-05-05,33
2025-05-06,30
2025-05-07,32
2025-05-08,50
2025-05-09,48
2025-05-10,37
2025-05-11,36
2025-05-12,48
2025-05-13,42
2025-05-14,37
2025-05-15,33
2025-05-16,40
2025-05-17,28
2025-05-18,32
2025-05-19,40
2025-05-20,40
2025-05-21,51
2025-05-22,72
2025-05-23,52
2025-05-24,36
2025-05-25,34
2025-05-26,40
2025-05-27,44
2025-05-28,44
2025-05-29,41
2025-05-30,38
2025-05-31,36
2025-06-01,32
2025-06-02,35
2025-06-03,35
2025-06-04,32
2025-06-05,37
2025-06-06,37
2025-06-07,30
2025-06-08,30
2025-06-09,35
